Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,arba.army.pentagon.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/screens/http.arba.army.pentagon.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/source/http.arba.army.pentagon.mil.txt
http,80,dami.army.pentagon.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/screens/https.www.dami.army.pentagon.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/source/http.dami.army.pentagon.mil.txt
https,443,www.dami.army.pentagon.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/screens/https.www.dami.army.pentagon.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/source/https.www.dami.army.pentagon.mil.txt
https,443,www.pentagon.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/screens/https.www.pentagon.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_170504/source/https.www.pentagon.mil.txt
